razao_social,telefone,whatsapp_link,maps_url,website
Casa De Carnes Moretti,+55 15 3284-4096,https://wa.me/551532844096,https://maps.google.com/?cid=884967448369365994,
Casa de Carnes São João,+55 15 3384-2689,https://wa.me/551533842689,https://maps.google.com/?cid=1299165266447984137,https://instagram.com/casa_de_carnes_sao_joao?igshid=NTc4MTIwNjQ2YQ==
Casa de Carnes 3 Irmãos,+55 15 3284-5370,https://wa.me/551532845370,https://maps.google.com/?cid=7681293358906834566,
Açougue Boi Branco,+55 15 3284-1366,https://wa.me/551532841366,https://maps.google.com/?cid=1726907805314966204,
Açougue Grando,+55 15 3284-2136,https://wa.me/551532842136,https://maps.google.com/?cid=17481159828010466138,https://www.facebook.com/AcougueGrando/
Casa de Carnes Taquaral,+55 15 98104-2597,https://wa.me/5515981042597,https://maps.google.com/?cid=1659032560326562147,
Casa de Carnes Grando,+55 15 3282-3051,https://wa.me/551532823051,https://maps.google.com/?cid=1980342044523803347,
Casa de carnes Boi Preto Luciano e Família,+55 15 99730-1036,https://wa.me/5515997301036,https://maps.google.com/?cid=8923637646107047769,https://www.facebook.com/casadoboipreto?mibextid=LQQJ4d
Casa Carnes Presoto,+55 15 3284-2501,https://wa.me/551532842501,https://maps.google.com/?cid=13595541316764367226,
Casa de Carnes Boi Preto L&F,+55 15 99730-1036,https://wa.me/5515997301036,https://maps.google.com/?cid=6379434893615444808,https://instagram.com/casadecarnesboipretolf?igshid=YmMyMTA2M2Y=
Casa de carnes São Bento,+55 15 99716-8154,https://wa.me/5515997168154,https://maps.google.com/?cid=12701963416717318829,
Restaurante Açougue Cisotto,+55 15 99201-1593,https://wa.me/5515992011593,https://maps.google.com/?cid=11752918377327268450,https://www.instagram.com/cisottorestaurante?igsh=MTc5a3JyMm9jdzZiMQ%3D%3D&utm_source=qr
Casa de Carnes Parreira,+55 15 99825-7990,https://wa.me/5515998257990,https://maps.google.com/?cid=14615258836633018384,
Açougue e Rotisseria Bella Carne,+55 15 99602-4199,https://wa.me/5515996024199,https://maps.google.com/?cid=12221398803274366466,
Casa de carnes FSJ - El Haji Beef Cerquilho,+55 15 99682-2132,https://wa.me/5515996822132,https://maps.google.com/?cid=13148963353555698920,https://www.elhajibeef.com.br/
Casa de Carnes Central Açougue e Conveniência,+55 15 3284-1209,https://wa.me/551532841209,https://maps.google.com/?cid=5131472476745234599,https://teleguiabr.com.br/anuncios/casa-de-carnes-central-acougue-e-conveniencia-cerquilho
Casa De Frios Dinapoli,+55 15 99667-0983,https://wa.me/5515996670983,https://maps.google.com/?cid=1993029691457212034,
Casa do Norte Vitória da Conquista,+55 15 3284-5131,https://wa.me/551532845131,https://maps.google.com/?cid=13506962952716604331,
Supermercado Ki Jóia - Loja 2,+55 15 3284-2586,https://wa.me/551532842586,https://maps.google.com/?cid=11971487471275610297,https://www.supermercadokijoia.com.br/
Casa de Carnes Torrezan,+55 15 3282-7020,https://wa.me/551532827020,https://maps.google.com/?cid=14583447357470328631,https://chat.whatsapp.com/JCTVMRPmQMl1METYdyNgQS
Casa de Carnes Terra Nova,+55 15 3282-1513,https://wa.me/551532821513,https://maps.google.com/?cid=4511100542104287689,
Frangoeste Avicultura LTDA,+55 15 3285-8200,https://wa.me/551532858200,https://maps.google.com/?cid=17466469969108827302,http://www.frangoeste.com.br/
Casarão Açougue Supermercado,+55 15 3282-1789,https://wa.me/551532821789,https://maps.google.com/?cid=2577096038054040989,
Casa De Carnes Melaré,+55 15 3263-4241,https://wa.me/551532634241,https://maps.google.com/?cid=12984609930319722311,
Casa de Carnes Rafael Costa,+55 15 3263-4082,https://wa.me/551532634082,https://maps.google.com/?cid=672134610753172577,
Mini Preço Dia%,+55 15 3384-4598,https://wa.me/551533844598,https://maps.google.com/?cid=16996966144998919677,
Casa de Carnes Bueno,+55 15 3263-1816,https://wa.me/551532631816,https://maps.google.com/?cid=717533356814361481,
Casa Carnes Irmãos Cristo,+55 15 3263-3132,https://wa.me/551532633132,https://maps.google.com/?cid=9339230067229974947,
Açougue Rusconi,+55 15 3263-3481,https://wa.me/551532633481,https://maps.google.com/?cid=15272606468811466511,
Casa de Carnes Denardi,+55 15 3263-3741,https://wa.me/551532633741,https://maps.google.com/?cid=4643563823208205434,
Casa de carnes e Mercearia bom Preço,+55 15 3363-3988,https://wa.me/551533633988,https://maps.google.com/?cid=10849712201590031022,
Casa de Carnes Dorighelo,+55 15 99658-5751,https://wa.me/5515996585751,https://maps.google.com/?cid=11245227238650815107,
Casa De Carnes São José,+55 15 3263-4381,https://wa.me/551532634381,https://maps.google.com/?cid=8623844458565749913,
Casa de carnes FSJ - El Haji Beef Boituva,+55 15 99730-8440,https://wa.me/5515997308440,https://maps.google.com/?cid=8749228210430854520,http://www.elhajibeef.com.br/
Casa de Carnes Irmãos Provasi,+55 15 3263-2209,https://wa.me/551532632209,https://maps.google.com/?cid=3922808630522234789,
Supermercado Cereais Tietê,+55 15 3282-2111,https://wa.me/551532822111,https://maps.google.com/?cid=11193357524764758797,
Açougue Irmãos Moretti,+55 15 99778-8955,https://wa.me/5515997788955,https://maps.google.com/?cid=2503492893703679707,
Rafael Costa - Casa de Carnes,+55 15 99609-2770,https://wa.me/5515996092770,https://maps.google.com/?cid=10974511952765993303,
Dona Carne & Cia açougue,+55 15 98191-2901,https://wa.me/5515981912901,https://maps.google.com/?cid=6164460003334392862,
Casa De Carnes Boi Dourado,+55 15 99791-2563,https://wa.me/5515997912563,https://maps.google.com/?cid=15276699471411942987,
CASA DE CARNES POPULAR,+55 15 3251-3971,https://wa.me/551532513971,https://maps.google.com/?cid=6832219890900905330,
Casa de Carnes Cruzeiro,+55 15 3251-0888,https://wa.me/551532510888,https://maps.google.com/?cid=12331520562386034530,
Casa de Carnes FSJ - El Haji Beef Tatuí,+55 15 99619-8811,https://wa.me/5515996198811,https://maps.google.com/?cid=12858823360702353084,http://www.elhajibeef.com.br/
Casa De Carnes Campos,+55 15 3266-4498,https://wa.me/551532664498,https://maps.google.com/?cid=1378618118838757677,
Casa de Carnes Santa Maria,+55 15 3251-5642,https://wa.me/551532515642,https://maps.google.com/?cid=1018329930112167634,
Casa de Carnes Rosa Garcia,+55 15 99739-2231,https://wa.me/5515997392231,https://maps.google.com/?cid=3250829200478704369,
Casa De Carne FSJ,+55 15 99853-5325,https://wa.me/5515998535325,https://maps.google.com/?cid=11627770960994661498,
Açougue 7 de Setembro,+55 15 3251-2836,https://wa.me/551532512836,https://maps.google.com/?cid=7468527482773322235,
Casa De Carnes Piaí Tatuí,+55 15 3251-4446,https://wa.me/551532514446,https://maps.google.com/?cid=3678037487552911616,
Casa de Carnes do Careca,+55 15 99744-3063,https://wa.me/5515997443063,https://maps.google.com/?cid=7071467440482437947,
Casa de Carnes Progresso,+55 15 3305-4720,https://wa.me/551533054720,https://maps.google.com/?cid=108909812775582666,
Empório Cowpig,+55 15 3268-7144,https://wa.me/551532687144,https://maps.google.com/?cid=4062015549157507090,https://www.cowpig.com.br/emporiocowpig/
Só Pesca Brasil,+55 15 3384-2343,https://wa.me/551533842343,https://maps.google.com/?cid=14273939037477480807,http://www.sopescabrasil.com.br/
Casa De Carnes 2,+55 15 3251-6744,https://wa.me/551532516744,https://maps.google.com/?cid=12938621608336488336,
CASA DE CARNES AMERICA,+55 15 3259-7653,https://wa.me/551532597653,https://maps.google.com/?cid=12923956046637596002,
Emporio da Carne,+55 15 99843-9383,https://wa.me/5515998439383,https://maps.google.com/?cid=9242818450537242851,
Casa de Carnes Água Branca,+55 15 3262-3798,https://wa.me/551532623798,https://maps.google.com/?cid=15208616220232672897,
