razao_social,telefone,whatsapp_link,maps_url,website
Casa de Carnes Taquaral,+55 15 98104-2597,https://wa.me/5515981042597,https://maps.google.com/?cid=1659032560326562147,
Casa de Carnes São João,+55 15 3384-2689,https://wa.me/551533842689,https://maps.google.com/?cid=1299165266447984137,https://instagram.com/casa_de_carnes_sao_joao?igshid=NTc4MTIwNjQ2YQ==
Casa de Carnes 3 Irmãos,+55 15 3284-5370,https://wa.me/551532845370,https://maps.google.com/?cid=7681293358906834566,
Casa de Carnes Parreira,+55 15 99825-7990,https://wa.me/5515998257990,https://maps.google.com/?cid=14615258836633018384,
Casa De Carnes Moretti,+55 15 3284-4096,https://wa.me/551532844096,https://maps.google.com/?cid=884967448369365994,
Casa de carnes FSJ - El Haji Beef Cerquilho,+55 15 99682-2132,https://wa.me/5515996822132,https://maps.google.com/?cid=13148963353555698920,https://www.elhajibeef.com.br/
Casa de Carnes Boi Preto L&F,+55 15 99730-1036,https://wa.me/5515997301036,https://maps.google.com/?cid=6379434893615444808,https://instagram.com/casadecarnesboipretolf?igshid=YmMyMTA2M2Y=
Casa Carnes Presoto,+55 15 3284-2501,https://wa.me/551532842501,https://maps.google.com/?cid=13595541316764367226,
Casa de Carnes Terra Nova,+55 15 3282-1513,https://wa.me/551532821513,https://maps.google.com/?cid=4511100542104287689,
Casa Carbone Açougue,+55 11 3078-5020,https://wa.me/551130785020,https://maps.google.com/?cid=548841221242000701,http://www.casacarbone.com.br/
Casa de Carnes Água Branca,+55 15 3262-3798,https://wa.me/551532623798,https://maps.google.com/?cid=15208616220232672897,
CASA DE CARNES AMERICA,+55 15 3259-7653,https://wa.me/551532597653,https://maps.google.com/?cid=12923956046637596002,
Casa de Carnes da Vila,+55 11 2667-7495,https://wa.me/551126677495,https://maps.google.com/?cid=16954854148592305923,
Du Butcher,+55 11 5505-4079,https://wa.me/551155054079,https://maps.google.com/?cid=11272265060687750921,https://www.instagram.com/du.butcher/
Açougue deBetti Dry Aged & Carnes Especiais,,,https://maps.google.com/?cid=11986437086314840384,http://debetti.com.br/
Tennessee Casa de Carnes - Loja Brooklin Paulista,+55 11 5533-5120,https://wa.me/551155335120,https://maps.google.com/?cid=16117626127939974352,
